Clients,AGO stored,PMS stored,Storage as at,Expected_picking,AGO_picked,PMS_picked,Picked date_ago
HASS TZ CMA,5168219.98,1194589.5,12/01/2023,12/23/2023,3489715.29,2086037.23,12/08/2023
ONE P,8110157.44,3276593.51,12/25/2023,12/23/2023,2712256.36,5242634.24,12/22/2023
HASS DRC,1778804.56,1368689.53,12/11/2023,12/21/2023,3892251.17,1756612.04,12/21/2023
HASS RWANDA,1946818.09,2592395.16,12/16/2023,12/01/2023,3806945.83,313235.29,12/16/2023
HASS TZ,6512667.75,5059216.66,12/14/2023,12/29/2023,5911364.68,6571582.72,12/06/2023
TANK,4596515.48,1773683.63,12/17/2023,12/04/2023,5665265.54,8140015.93,12/30/2023
MEWD ZAMBIA,8228825.96,2987119.28,12/26/2023,12/29/2023,4924293.06,9885877.33,12/25/2023
TANK,6103950.95,6657360.89,12/26/2023,12/04/2023,72690.91,4633689.96,12/19/2023
ONE P,4503216.33,2847164.81,12/27/2023,12/08/2023,2504756.14,2398988.01,12/04/2023
TANK,7453450.54,4534496.36,12/24/2023,12/25/2023,5553565.18,8044619.51,12/29/2023
HASS UGANDA,1275118.11,2256078.59,12/07/2023,12/09/2023,2107062.35,4445191.72,12/20/2023
ONE P,1043998.59,4230660.56,12/20/2023,12/14/2023,6321588.95,2852392.64,12/29/2023
HASS DRC CMA,1221226.3,6592394.5,12/29/2023,12/03/2023,7336382.37,4569938.73,12/21/2023
TANK,5144011.89,1479227.58,12/01/2023,12/17/2023,6055407.74,7860886.52,12/28/2023
HASS TZ,3171433.58,6179058.05,12/14/2023,12/21/2023,9266693.71,6528020.5,12/20/2023
HASS ZAMBIA CMA,2560744.86,2687694.75,12/09/2023,12/06/2023,7784903.6,8705254.52,12/27/2023
HASS RWANDA CMA,8228648.85,6515155.8,12/14/2023,12/18/2023,1507752.67,6709062.99,12/04/2023
NURAH ENERGY DRC,9844527.83,4237496.64,12/15/2023,12/20/2023,8303638.22,3865284.53,12/12/2023
HASS DRC,3898178.07,3272003.61,12/04/2023,12/30/2023,2434316.25,126747.96,12/17/2023
HASS DRC CMA,9336423.51,9312288.06,12/27/2023,12/12/2023,4464053.08,9768824.42,12/25/2023
HASS UGANDA CMA,6594958.18,4219703.66,12/11/2023,12/15/2023,883214.4,1780589,12/29/2023
HASS ZAMBIA CMA,3283177.59,6140490.99,12/19/2023,12/27/2023,3003884.27,3681532.29,12/06/2023
NOTIONAL OIL COMPANY OF MALAWI,6315607.1,5606810.37,12/27/2023,12/12/2023,2702741.61,9837373.67,12/05/2023
NURAH ENERGY DRC,4594517.16,7374270.39,12/13/2023,12/08/2023,8005518.98,5879390.64,12/07/2023
NURAH ENERGY DRC,47012.26,9751559.73,12/11/2023,12/11/2023,6700823.22,1037207.94,12/11/2023
HASS RWANDA,6826005.64,158525.17,12/30/2023,12/29/2023,7285818.28,1341632.89,12/07/2023
NOTIONAL OIL COMPANY OF MALAWI,9502604.25,8913112.38,12/18/2023,12/24/2023,3635338.33,148041.54,12/28/2023
ONE P,2923412.58,2626662.07,12/02/2023,12/16/2023,6888581.82,1476402.52,12/14/2023
HASS UGANDA,2375276.22,4404785.06,12/15/2023,12/08/2023,2669752.43,8788582.09,12/30/2023
HASS ZAMBIA CMA,7392347.91,7335270.86,12/24/2023,12/05/2023,8834458.43,2549447.8,12/11/2023
HASS DRC CMA,3556746.53,210110.68,12/12/2023,12/05/2023,435543.26,8484347.94,12/25/2023
HASS RWANDA,6345029.03,784083.48,12/22/2023,12/12/2023,8212666.37,5231891.36,12/05/2023
HASS DRC,1309485.3,7913653.85,12/15/2023,12/25/2023,6204893.26,3785741.02,12/19/2023
HASS TZ,2600936.88,9290988.95,12/07/2023,12/26/2023,7454847.22,1063387.84,12/14/2023
NURAH ENERGY DRC,987760.4,698169.13,12/22/2023,12/16/2023,6584482,9514778.03,12/17/2023
ONE P,8720030.81,6109495.89,12/06/2023,12/27/2023,2273419.61,213489.36,12/30/2023
TANK,8201197.66,6139775.2,12/07/2023,12/24/2023,5666740.57,2190766.91,12/01/2023
HASS TZ,3618027.97,7101224.62,12/26/2023,12/02/2023,2615629.04,1720298.16,12/18/2023
HASS UGANDA,8964687.5,814440.94,12/20/2023,12/22/2023,9651791.28,6820069.35,12/13/2023
HASS RWANDA,9603161.4,879638.37,12/14/2023,12/10/2023,9569434.32,4619583.54,12/20/2023
HASS TZ,9877136.59,4515505.59,12/30/2023,12/23/2023,8137769.74,2373001.37,12/28/2023
HASS RWANDA CMA,3384802.18,5843836.21,12/10/2023,12/25/2023,6959853.38,741791.45,12/06/2023
HASS UGANDA,9120536.34,1929227.6,12/18/2023,12/05/2023,6180996,4145470.45,12/04/2023
HASS DRC CMA,8347999.65,1781108.34,12/20/2023,12/08/2023,6573990.76,7790347.07,12/02/2023
HASS TZ CMA,4258300.74,2762027.69,12/20/2023,12/04/2023,2786076.93,3913686.65,12/02/2023
NURAH ENERGY DRC,6840179.54,3063646.23,12/15/2023,12/21/2023,1524596.68,6585174.55,12/17/2023
HASS TZ CMA,4962622.99,1360878.32,12/25/2023,12/23/2023,1025362.26,6645436.37,12/29/2023
MEWD ZAMBIA,6664508.43,7240729.99,12/29/2023,12/21/2023,1794571.14,4523069.37,12/26/2023
HASS TZ,7473165.44,1707022.87,12/27/2023,12/04/2023,5614263.6,8727248.75,12/10/2023
HASS TZ CMA,4327245.32,4295628.56,12/19/2023,12/02/2023,5242763.84,5942529.59,12/15/2023
MEWD ZAMBIA,3044996.55,7912166.33,12/30/2023,12/04/2023,2277686,875322.2,12/24/2023
HASS DRC,3478634.47,3382674.49,12/21/2023,12/18/2023,932122.77,9131731.63,12/25/2023
HASS TZ,2591353.99,6190481.83,12/08/2023,12/03/2023,8235739.93,7747699.88,12/20/2023
NOTIONAL OIL COMPANY OF MALAWI,1586002.25,5908096.44,12/26/2023,12/28/2023,5906837.42,1406721.31,12/03/2023
HASS TZ,1557150.97,1215735.53,12/25/2023,12/30/2023,1887706,6979796.5,12/24/2023
HASS ZAMBIA CMA,45659.21,8202007.04,12/14/2023,12/15/2023,4899312.47,6348483.4,12/26/2023
HASS ZAMBIA CMA,7959142.04,1114773.44,12/17/2023,12/10/2023,7431849.31,6240568.77,12/29/2023
ONE P,7147584.22,3676335.73,12/17/2023,12/24/2023,8697297.79,1738609.98,12/02/2023
HASS TZ,6297384.21,6847352.24,12/30/2023,12/17/2023,1883881.43,4349314.2,12/19/2023
NOTIONAL OIL COMPANY OF MALAWI,7625784.66,3175374.41,12/10/2023,12/21/2023,3757966.06,2671689.8,12/26/2023
HASS RWANDA,8585775.96,3050362.09,12/27/2023,12/21/2023,7544128.45,7132786.71,12/17/2023
HASS DRC,6219918.97,2342824.31,12/29/2023,12/07/2023,130357.61,3532754.6,12/22/2023
HASS UGANDA,5628367.16,9625658.89,12/17/2023,12/19/2023,2725173.51,685852.95,12/21/2023
NURAH ENERGY DRC,6332463.03,4346725.72,12/25/2023,12/29/2023,6188884.78,5613458.85,12/26/2023
MEWD ZAMBIA,1373573.21,2341036.28,12/07/2023,12/11/2023,3453069.7,8949118.22,12/05/2023
TANK,1466064.75,1664606.48,12/30/2023,12/29/2023,4168711.76,7313629.29,12/12/2023
MEWD ZAMBIA,4663977.41,3509447.16,12/20/2023,12/11/2023,1763022.07,4385113.26,12/24/2023
TANK,6224080.63,3133723.28,12/12/2023,12/23/2023,6691111.57,1557784.95,12/25/2023
NOTIONAL OIL COMPANY OF MALAWI,5501300.09,7631979.51,12/15/2023,12/16/2023,8834392.43,7028514.36,12/29/2023
NURAH ENERGY DRC,5732653.91,7994284.48,12/02/2023,12/25/2023,2853917.04,8234036.76,12/15/2023
REGIDE-BURUNDI,7922893.54,8769682.38,12/16/2023,12/17/2023,7474419.83,6005711.7,12/15/2023
HASS RWANDA,1433583.96,1680925.74,12/30/2023,12/03/2023,1099292.66,9359823.73,12/12/2023
HASS ZAMBIA CMA,911367.19,1216239.06,12/28/2023,12/09/2023,4470735.1,861809.21,12/08/2023
ONE P,9340087.42,9236074.88,12/29/2023,12/11/2023,1742314.87,4917719.97,12/04/2023
TANK,6966495.64,6472995.52,12/04/2023,12/04/2023,2257237.26,3339726.01,12/05/2023
HASS DRC CMA,3406332.15,4968708.39,12/24/2023,12/07/2023,8077216.54,5056512.82,12/15/2023
HASS UGANDA,441088.19,8404978.23,12/25/2023,12/29/2023,6459687.54,4903582.1,12/09/2023
REGIDE-BURUNDI,8664932,5298982.56,12/09/2023,12/01/2023,1220312.61,2513134.6,12/08/2023
HASS RWANDA,7284811.69,4057568.65,12/22/2023,12/17/2023,7069144.92,9438318.38,12/27/2023
TANK,6079537.68,3959215.99,12/24/2023,12/26/2023,5264679.87,9388889.55,12/19/2023
HASS UGANDA CMA,4762583.01,2337943.64,12/23/2023,12/30/2023,3101664.77,9058308.07,12/22/2023
HASS UGANDA,2147358.87,9574706.77,12/20/2023,12/05/2023,3142129.24,5403138.51,12/16/2023
MEWD ZAMBIA,7500451.73,5113295.56,12/26/2023,12/29/2023,8871238.9,3825737.09,12/21/2023
REGIDE-BURUNDI,8464144.59,318617.53,12/11/2023,12/28/2023,4382680.48,4065261.46,12/12/2023
HASS DRC CMA,7998034.48,3233861.94,12/03/2023,12/29/2023,1024014.94,9516168.04,12/07/2023
HASS DRC,8093274.89,8247143.58,12/01/2023,12/26/2023,5367508.09,4104767.09,12/23/2023
HASS RWANDA,3743331.89,127624.23,12/01/2023,12/22/2023,5529184.31,1149671.1,12/15/2023
ONE P,6030812.25,2400642.39,12/30/2023,12/13/2023,5496603.24,8390187.96,12/04/2023
TANK,6454883.53,3702555.14,12/11/2023,12/07/2023,1227518.78,9153979.99,12/07/2023
HASS UGANDA,3983875.43,6908088.03,12/07/2023,12/18/2023,6282462.63,7454091.57,12/10/2023
HASS UGANDA,3760403.93,6384107.01,12/23/2023,12/04/2023,2727614.12,6865114.17,12/10/2023
HASS RWANDA CMA,8977028.77,3946657.51,12/04/2023,12/23/2023,8700969.2,7552721.1,12/10/2023
HASS RWANDA CMA,3393348.61,3823007.57,12/13/2023,12/17/2023,6182236.93,7081994.69,12/15/2023
ONE P,721126.35,4809587.07,12/14/2023,12/13/2023,2504918.8,7792574.7,12/04/2023
HASS UGANDA,4613516.56,365222.18,12/20/2023,12/30/2023,2530958.83,9576196.02,12/12/2023
HASS TZ,2528782.53,3262837.57,12/13/2023,12/09/2023,9203174.9,7113902.19,12/16/2023
HASS UGANDA,8516716.59,6171932.99,12/14/2023,12/29/2023,7506881.86,1767799.97,12/18/2023
MEWD ZAMBIA,1451380.15,8186994.15,12/23/2023,12/02/2023,6762874.78,4889970.57,12/02/2023
HASS TZ,6257195.29,1684622.43,12/07/2023,12/19/2023,5346194.68,6827994.38,12/16/2023
HASS UGANDA CMA,1246265.83,1174935.89,12/14/2023,12/02/2023,960329.46,7716433.35,12/20/2023
HASS TZ,1991133.33,4801499.73,12/04/2023,12/07/2023,8556702.61,9685353.38,12/01/2023
HASS DRC,9968248.31,4386164.34,12/10/2023,12/20/2023,6497264.53,5911220.69,12/28/2023
REGIDE-BURUNDI,4294164.56,5074767.09,12/02/2023,12/27/2023,5566555.84,7446117.54,12/03/2023
HASS DRC CMA,959097.35,7778892.02,12/10/2023,12/21/2023,8533519.35,5930670.68,12/07/2023
HASS UGANDA,3744410.03,5035758.82,12/26/2023,12/15/2023,6082248.52,8802075.8,12/19/2023
HASS DRC,6593061.19,9899535.35,12/19/2023,12/15/2023,6601542.03,5213526.96,12/27/2023
HASS RWANDA CMA,777950.3,4438235.54,12/20/2023,12/02/2023,8655102.66,380036.42,12/04/2023
NURAH ENERGY DRC,4441602.56,76904.22,12/23/2023,12/25/2023,4962038.88,741249.75,12/07/2023
HASS UGANDA CMA,6039012.1,2950290.77,12/28/2023,12/15/2023,2333757.64,8965468.92,12/24/2023
REGIDE-BURUNDI,4527460.04,6444868.86,12/05/2023,12/21/2023,1449588.5,2622040.32,12/11/2023
NURAH ENERGY DRC,4956190.22,2035634.19,12/22/2023,12/25/2023,3340958.6,6076029.69,12/01/2023
HASS UGANDA CMA,8467068.88,365469.09,12/14/2023,12/30/2023,696599.84,8115624.76,12/24/2023
MEWD ZAMBIA,6562255.57,2133001.63,12/08/2023,12/01/2023,5613737.25,6956564.18,12/19/2023
HASS DRC CMA,7863177.33,6930797.81,12/25/2023,12/02/2023,7580280.65,8002996.71,12/15/2023
HASS DRC,2821432.51,4649669.47,12/18/2023,12/06/2023,9862922.08,1982416.68,12/24/2023
NOTIONAL OIL COMPANY OF MALAWI,1345796.84,3043388.04,12/09/2023,12/01/2023,2164485.42,5519324.78,12/26/2023
ONE P,5782464.66,3779771.6,12/03/2023,12/06/2023,7750816.79,4775332.59,12/24/2023
HASS UGANDA CMA,4321434.54,2262083.72,12/17/2023,12/15/2023,4539392.92,8711228.55,12/10/2023
HASS RWANDA CMA,7366771.87,6276900.78,12/30/2023,12/16/2023,3198868.13,8309480.46,12/04/2023
HASS TZ CMA,8102075.64,4911677.03,12/15/2023,12/22/2023,1065628.2,1731677.17,12/16/2023
TANK,1333184.31,8289576.08,12/23/2023,12/13/2023,5542031.1,904203.07,12/19/2023
HASS DRC CMA,7142603.07,9697681.54,12/24/2023,12/13/2023,2951152.26,6024252.89,12/23/2023
HASS UGANDA,8860349.08,1314458.34,12/22/2023,12/13/2023,709794.93,8002839.32,12/03/2023
HASS UGANDA CMA,388198.23,7128578.73,12/16/2023,12/17/2023,2398164.92,7401741.97,12/13/2023
MEWD ZAMBIA,2596217.73,8889232.8,12/11/2023,12/17/2023,7685769.89,467104.34,12/01/2023
ONE P,8336304.29,8671552.48,12/20/2023,12/01/2023,9120580.04,8003845.24,12/24/2023
HASS DRC CMA,3865303.33,410735.17,12/20/2023,12/28/2023,5846803.02,3586322.52,12/11/2023
NURAH ENERGY DRC,3329076.04,1045997.76,12/23/2023,12/18/2023,7056375.14,346958.76,12/16/2023
NURAH ENERGY DRC,3433947.18,3966646.5,12/29/2023,12/09/2023,188987.44,1455468.91,12/30/2023
HASS RWANDA CMA,6801910.51,559765.07,12/09/2023,12/28/2023,3441862.78,1932103.09,12/23/2023
HASS TZ,9472774.38,1268728.55,12/08/2023,12/19/2023,5274644.77,6419042.43,12/04/2023
HASS ZAMBIA CMA,4653123.17,7561538.37,12/29/2023,12/14/2023,5720744.1,5146651.25,12/04/2023
ONE P,8629047.05,1163555.17,12/25/2023,12/02/2023,1135652.73,2553568.89,12/24/2023
HASS UGANDA,3070540.23,4312436.68,12/06/2023,12/03/2023,4001472.72,4445783.57,12/12/2023
HASS RWANDA CMA,1437720.23,6280631.75,12/29/2023,12/20/2023,3042605.36,3348005.26,12/05/2023
ONE P,465141.96,3686583.63,12/22/2023,12/15/2023,2840867.79,4501302.41,12/03/2023
HASS UGANDA,4162206.67,81197.76,12/07/2023,12/09/2023,418891.3,3588619.18,12/30/2023
MEWD ZAMBIA,9227254.27,3395976.19,12/17/2023,12/27/2023,7597024.84,286385.92,12/05/2023
ONE P,2113174.25,3531399.45,12/20/2023,12/11/2023,6381971.64,3934429.24,12/11/2023
MEWD ZAMBIA,8351530.67,8503961.01,12/03/2023,12/29/2023,8670326.97,2218910.47,12/04/2023
NOTIONAL OIL COMPANY OF MALAWI,3187847.02,2001282.09,12/08/2023,12/28/2023,7073003.16,4066617.59,12/14/2023
NOTIONAL OIL COMPANY OF MALAWI,8826655.28,5984912.82,12/23/2023,12/15/2023,1870674.93,7097642.85,12/28/2023
HASS UGANDA,9827262.01,9871712.49,12/14/2023,12/14/2023,4178974.37,7928461.42,12/05/2023
HASS RWANDA CMA,1561696.73,2638650.81,12/03/2023,12/03/2023,7358898.64,8023250.21,12/12/2023
HASS ZAMBIA CMA,3814591.6,2478880.32,12/26/2023,12/13/2023,1946789.95,5687688.76,12/20/2023
TANK,3205687.77,7217130.28,12/18/2023,12/02/2023,9873361.41,5283482.47,12/25/2023
HASS UGANDA CMA,3715055.24,2159444.76,12/04/2023,12/18/2023,6272278.53,3360413.97,12/17/2023
TANK,2481570.2,3336198.68,12/02/2023,12/23/2023,2393174.14,8962240.15,12/09/2023
HASS TZ CMA,7826315.7,4404272.97,12/21/2023,12/13/2023,7453510.85,9353295.75,12/18/2023
HASS RWANDA,7203051.79,6395716.15,12/23/2023,12/12/2023,8977790.12,8390512.22,12/13/2023
HASS DRC CMA,1090530.19,4425946.87,12/28/2023,12/01/2023,6916344.64,5395279.25,12/26/2023
NOTIONAL OIL COMPANY OF MALAWI,7563207.77,5072745.43,12/20/2023,12/24/2023,3550018.51,8976379.99,12/29/2023
HASS RWANDA CMA,2305131.17,8337685.65,12/30/2023,12/07/2023,5997496.51,364478.1,12/30/2023
HASS RWANDA,8494022.87,3915415.36,12/30/2023,12/06/2023,7211597.21,2889414.55,12/30/2023
MEWD ZAMBIA,9566500.84,616628.28,12/11/2023,12/24/2023,1754817.44,1835343.02,12/26/2023
NOTIONAL OIL COMPANY OF MALAWI,1105445.1,8596614.94,12/05/2023,12/13/2023,3727574.54,7879181.3,12/13/2023
HASS DRC CMA,6379881.3,9804542.72,12/29/2023,12/08/2023,2671764.98,8424703.3,12/11/2023
REGIDE-BURUNDI,3605026.84,2212772.84,12/16/2023,12/22/2023,7486365.09,981136.47,12/05/2023
HASS ZAMBIA CMA,7831827.48,9117482.68,12/16/2023,12/04/2023,8341807.2,525369.91,12/17/2023
HASS UGANDA,8736673.09,2659850.62,12/18/2023,12/10/2023,3747659.64,9530223.41,12/20/2023
NURAH ENERGY DRC,3450150.68,5530849.9,12/27/2023,12/07/2023,5391258.28,6101828.41,12/06/2023
HASS TZ CMA,7814642.55,146002.17,12/17/2023,12/19/2023,7051100.38,5113881.45,12/18/2023
HASS TZ CMA,8816509.28,7720916.55,12/14/2023,12/11/2023,1719645.48,9503785.36,12/15/2023
MEWD ZAMBIA,1368103.39,4292666.62,12/14/2023,12/07/2023,4912623.63,8039852.04,12/08/2023
NURAH ENERGY DRC,8006034.78,141850.96,12/23/2023,12/01/2023,7338020.79,512318.17,12/04/2023
HASS RWANDA CMA,7577096.47,8481224.2,12/03/2023,12/18/2023,2100358.7,2220089.52,12/10/2023
HASS ZAMBIA CMA,3270917.89,2990962.79,12/23/2023,12/11/2023,1024892.76,6823882.82,12/23/2023
TANK,6024222.49,6319504.54,12/22/2023,12/29/2023,9459996.12,9690315,12/22/2023
HASS DRC CMA,9984488.2,5280820.49,12/27/2023,12/16/2023,5840618.73,8200803.34,12/05/2023
HASS RWANDA,6261940.85,1442184.59,12/12/2023,12/13/2023,1359837.2,1024265.22,12/20/2023
HASS DRC,6713251.73,3310022.08,12/04/2023,12/13/2023,7837219.69,9826730.83,12/05/2023
HASS UGANDA,7503870.02,8634031.85,12/25/2023,12/13/2023,7776572.97,5439863.02,12/10/2023
NOTIONAL OIL COMPANY OF MALAWI,3937803.97,5773298.04,12/27/2023,12/05/2023,7459401.42,2155989.44,12/07/2023
TANK,462439.24,2360291.3,12/04/2023,12/15/2023,6707358.25,1374757.97,12/08/2023
NURAH ENERGY DRC,729104.86,3460235.05,12/14/2023,12/16/2023,2600151.26,2648359.56,12/19/2023
HASS RWANDA CMA,4245091.1,9738717.34,12/05/2023,12/17/2023,8230221.44,5424259.22,12/12/2023
HASS DRC,4707144.78,4285258.23,12/02/2023,12/08/2023,7735965.17,8726149.68,12/24/2023
ONE P,2672643.97,6291542.34,12/15/2023,12/04/2023,1643497.24,8210094.47,12/05/2023
HASS TZ,3016102.67,7745237.13,12/10/2023,12/27/2023,2113980.34,2108311.28,12/11/2023
HASS DRC CMA,9492887.47,6220188.48,12/06/2023,12/26/2023,7157042.56,8041216.6,12/16/2023
HASS DRC CMA,3752715.3,2129020.16,12/02/2023,12/02/2023,677717.62,6742018.63,12/03/2023
NOTIONAL OIL COMPANY OF MALAWI,1518787.56,589474.86,12/25/2023,12/04/2023,1465106.27,589651.38,12/17/2023
HASS TZ CMA,5492756.33,5725039.55,12/03/2023,12/24/2023,7198346.08,8884538.11,12/14/2023
NOTIONAL OIL COMPANY OF MALAWI,9025743.02,719132.82,12/25/2023,12/24/2023,7398487.36,5382959.4,12/24/2023
NURAH ENERGY DRC,2789220.35,4515416.17,12/12/2023,12/01/2023,3086625.82,8917549.26,12/27/2023
REGIDE-BURUNDI,4942985.54,6820205.88,12/27/2023,12/14/2023,1868983.9,2505606.88,12/15/2023
HASS UGANDA,5924267.85,272971.86,12/11/2023,12/28/2023,7116981.59,1858307.7,12/23/2023
HASS RWANDA,5638861.68,1162144.63,12/23/2023,12/27/2023,9727716.05,409362.61,12/19/2023
NOTIONAL OIL COMPANY OF MALAWI,1322937.52,3693935.95,12/24/2023,12/06/2023,7977628.89,1811590.47,12/24/2023
ONE P,8222518.31,1909229.81,12/11/2023,12/01/2023,1321151.82,9928065.49,12/20/2023
MEWD ZAMBIA,1415956.24,6820046.91,12/11/2023,12/02/2023,8189425.09,1327445.73,12/29/2023
REGIDE-BURUNDI,6961522.98,7578614.21,12/05/2023,12/27/2023,2237561.63,1327451.36,12/21/2023
NOTIONAL OIL COMPANY OF MALAWI,5203529.33,2913335.28,12/06/2023,12/08/2023,8047107.28,4793492,12/08/2023
TANK,7781347.68,8559075.81,12/01/2023,12/30/2023,4374392.81,5497121.35,12/24/2023
NOTIONAL OIL COMPANY OF MALAWI,3320085.82,754460.9,12/05/2023,12/24/2023,8016473.29,4897603.23,12/21/2023
HASS RWANDA CMA,8303427.09,1382050.54,12/29/2023,12/19/2023,4426790.94,4397093,12/15/2023
HASS DRC,895444.89,5694905.33,12/05/2023,12/14/2023,8258543.97,2223714.3,12/05/2023
HASS DRC CMA,8210503.79,9324469.35,12/14/2023,12/02/2023,7116809.41,4047365.04,12/12/2023
HASS TZ CMA,2810385.51,7227063.88,12/07/2023,12/29/2023,766668.37,1598250.2,12/14/2023
TANK,607220.33,6598678.04,12/09/2023,12/07/2023,8163842.28,7645522.17,12/17/2023
TANK,1057436.91,6378808.3,12/17/2023,12/16/2023,6413705.3,1110839.44,12/07/2023
HASS UGANDA CMA,3934297.3,7769926.93,12/15/2023,12/23/2023,2412635.83,6273859.96,12/07/2023
ONE P,4219316.77,4044478.21,12/11/2023,12/14/2023,408010.38,3146461.84,12/08/2023
NOTIONAL OIL COMPANY OF MALAWI,7012271.66,1611199.96,12/11/2023,12/08/2023,8149278.45,3607807.51,12/05/2023
HASS UGANDA,5742715.39,7605623.31,12/02/2023,12/13/2023,1589969.11,9770807.32,12/29/2023
NURAH ENERGY DRC,3384312.48,8744440.33,12/15/2023,12/27/2023,7133181.65,3231908.86,12/25/2023
HASS TZ,4102276.7,714743.64,12/26/2023,12/22/2023,7480071.89,2313431.34,12/10/2023
HASS UGANDA,4415823.43,6461869.47,12/13/2023,12/11/2023,7836395.79,3403671.9,12/11/2023
HASS DRC,315678.98,6587832.08,12/08/2023,12/18/2023,6441333.02,8779828.96,12/08/2023
HASS UGANDA,5609052.26,7682568.38,12/06/2023,12/01/2023,1668785.5,3150240.1,12/30/2023
HASS TZ CMA,8441636.75,2721777.46,12/29/2023,12/24/2023,6264052.64,4049982.42,12/26/2023
